dataset,column,dtype,missing_count,missing_rate,non_missing_rate,unique_count
HRS,s3mrct,float64,33356,0.7374099128973781,0.2625900871026219,8
HRS,s3mlen,float64,33317,0.7365477295839413,0.2634522704160587,589
HRS,s3mlenm,float64,33317,0.7365477295839413,0.2634522704160587,7
HRS,s3mcurln,float64,33634,0.7435557324136711,0.2564442675863289,612
HRS,s3mdiv,float64,33317,0.7365477295839413,0.2634522704160587,5
HRS,s3mwid,float64,33317,0.7365477295839413,0.2634522704160587,3
HRS,s3mend,float64,33356,0.7374099128973781,0.2625900871026219,7
HRS,s3mnev,float64,33317,0.7365477295839413,0.2634522704160587,2
HRS,s3mpart,float64,33317,0.7365477295839413,0.2634522704160587,2
HRS,s3oahdid,float64,32965,0.728765972498563,0.271234027501437,87
HRS,s3ohrsid,float64,32965,0.728765972498563,0.271234027501437,87
HRS,s3wtresp,float64,33317,0.7365477295839413,0.2634522704160587,2190
HRS,s3wtcrnh,float64,33317,0.7365477295839413,0.2634522704160587,2190
HRS,s3cendiv,float64,33317,0.7365477295839413,0.2634522704160587,11
HRS,s3cenreg,float64,33317,0.7365477295839413,0.2634522704160587,5
HRS,s3urbrur,float64,33332,0.7368793385506477,0.2631206614493523,3
HRS,s3finr,float64,33317,0.7365477295839413,0.2634522704160587,2
HRS,s3famr,float64,33317,0.7365477295839413,0.2634522704160587,2
HRS,s4hhidpn,float64,23916,0.5287173365167794,0.47128266348322057,14455
HRS,r4mstat,float64,23874,0.5277888314100013,0.4722111685899987,7
HRS,r4mpart,float64,23850,0.527258257063271,0.472741742936729,2
HRS,s4bmonth,float64,30726,0.6792678074015122,0.32073219259848784,12
HRS,s4byear,float64,30726,0.6792678074015122,0.32073219259848784,73
HRS,s4bdate,float64,30726,0.6792678074015122,0.32073219259848784,749
HRS,s4bflag,float64,30722,0.6791793783437238,0.32082062165627623,3
HRS,s4cohbyr,float64,30792,0.6807268868550206,0.3192731131449794,9
HRS,s4hrsamp,float64,30780,0.6804615996816554,0.3195384003183446,2
HRS,s4ahdsmp,float64,30780,0.6804615996816554,0.3195384003183446,2
HRS,s4dmonth,float64,36848,0.8146084803466419,0.1853915196533581,12
HRS,s4dyear,float64,36804,0.8136357607109697,0.18636423928903034,26
HRS,s4ddate,float64,36804,0.8136357607109697,0.18636423928903034,331
HRS,s4dsrc,float64,36804,0.8136357607109697,0.18636423928903034,4
HRS,s4dtimtdth,float64,36820,0.8139894769421232,0.1860105230578768,139
HRS,s4dage_y,float64,36805,0.8136578679754167,0.18634213202458327,66
HRS,s4dage_m,float64,36805,0.8136578679754167,0.18634213202458327,591
HRS,s4racem,float64,30877,0.6826060043330239,0.3173939956669761,3
HRS,s4hispan,float64,30875,0.6825617898041296,0.3174382101958704,2
HRS,s4gender,float64,30718,0.6790909492859354,0.3209090507140646,2
HRS,s4educ,float64,30882,0.6827165406552593,0.31728345934474067,5
HRS,s4edyrs,float64,30882,0.6827165406552593,0.31728345934474067,18
HRS,s4edegrm,float64,30875,0.6825617898041296,0.3174382101958704,9
HRS,s4relig,float64,30928,0.6837334748198258,0.3162665251801742,5
HRS,s4vetrn,float64,30902,0.6831586859442013,0.31684131405579874,2
HRS,s4meduc,float32,32340,0.7149489322191273,0.28505106778087275,20
HRS,s4feduc,float32,32864,0.7265331387894062,0.2734668612105938,20
HRS,s4bplace,float64,30899,0.6830923641508599,0.31690763584914006,13
HRS,s4bplacf,float64,30780,0.6804615996816554,0.3195384003183446,4
HRS,s4iwbeg,float64,31254,0.6909404430295795,0.30905955697042053,15
HRS,s4iwend,float64,31254,0.6909404430295795,0.30905955697042053,14
HRS,s4iwmid,float32,31254,0.6909404430295795,0.30905955697042053,40
HRS,s4iwmidf,float64,31254,0.6909404430295795,0.30905955697042053,2
HRS,s4iwstat,float64,30780,0.6804615996816554,0.3195384003183446,2
HRS,s4iwendm,float64,31254,0.6909404430295795,0.30905955697042053,12
HRS,s4iwendy,float64,31254,0.6909404430295795,0.30905955697042053,2
HRS,s4proxy,float64,31254,0.6909404430295795,0.30905955697042053,2
HRS,s4mstat,float64,31254,0.6909404430295795,0.30905955697042053,4
HRS,s4mstath,float64,31254,0.6909404430295795,0.30905955697042053,7
HRS,s4mstatf,float64,31254,0.6909404430295795,0.30905955697042053,3
HRS,s4mrct,float64,31290,0.691736304549675,0.30826369545032495,9
