observed_fraction,observed_rows,hidden_rows,test_rows,latent_dim,reconstruction_id,avg_ks_statistic,avg_wasserstein_distance,correlation_structure_distance,covariance_structure_distance,target_distribution_l1_difference,hidden_spd,reconstructed_spd,spd_absolute_gap,runtime_seconds,utility_accuracy,utility_balanced_accuracy,utility_macro_f1,utility_roc_auc_ovr
0.3,6299,14699,7350,16,4,0.25130734517087333,0.32664465114234303,2.527074996204951,1.8028736423467528,0.008163820668072697,0.010362205890270315,0.006541492034149637,0.0038207138561206777,0.6434357166290283,0.7681632653061224,0.6178647146803806,0.6087418901105559,0.9093134090368471
0.3,6299,14699,7350,16,5,0.2511871555888156,0.32714828435443977,2.5329142159281326,1.8154515681800358,0.0136063677801211,0.010362205890270315,0.005025662425295896,0.005336543464974419,0.7741427421569824,0.7693877551020408,0.6187991858144803,0.6099693797392557,0.9097686379348933
0.3,6299,14699,7350,20,1,0.24530240152391317,0.3252377791321322,1.5972675080481935,1.1795128786388207,0.0136063677801211,0.010362205890270315,0.005025662425295896,0.005336543464974419,1.0502374172210693,0.7787755102040816,0.6320728905834323,0.6184915641906648,0.9155641495168992
0.3,6299,14699,7350,20,2,0.24379436242828312,0.3249318944321303,1.56895846585226,1.1678495891501106,0.01088509422409683,0.010362205890270315,0.007137863726501659,0.0032243421637686565,1.0521681308746338,0.7805442176870748,0.6330572931659653,0.6191498829200608,0.914724772273509
0.3,6299,14699,7350,20,3,0.2445268385604463,0.3246123172073378,1.5892459909583248,1.1731035268387449,0.01034083951289199,0.010362205890270315,0.0083423190112005,0.0020198868790698155,1.049248218536377,0.780952380952381,0.6339110348778921,0.6208003266464972,0.9154885908136046
0.3,6299,14699,7350,20,4,0.24389641018663397,0.32353874086113066,1.5832710984221887,1.1761272051048097,0.01115722157969936,0.010362205890270315,0.003204899585096649,0.007157306305173666,0.9896531105041504,0.7810884353741496,0.6333369447867874,0.6199437966454678,0.9153935366770627
0.3,6299,14699,7350,20,5,0.24536816563485045,0.325995148076654,1.5845521124099604,1.1660145095405114,0.016735832369548946,0.010362205890270315,0.014704699106100283,0.004342493215829968,1.0449352264404297,0.7802721088435374,0.6328923320902949,0.6193423883881467,0.9163143252606342
0.3,6299,14699,7350,23,1,0.24013878495135724,0.31462393006196887,0.9247240339811856,0.8003600093211994,0.01115722157969936,0.010362205890270315,0.003204899585096649,0.007157306305173666,1.3242955207824707,0.7274829931972789,0.7517553451304999,0.6693576405017496,0.9146467621802368
0.3,6299,14699,7350,23,2,0.23953783704106862,0.31713864351927623,0.943852889313823,0.8147771191056777,0.016735832369548946,0.010362205890270315,0.014704699106100283,0.004342493215829968,1.3197977542877197,0.7258503401360544,0.7563689103831547,0.6715636218736537,0.9154398289862797
0.3,6299,14699,7350,23,3,0.24020454906229452,0.31621093712994874,0.9583252687352213,0.8288780747467811,0.013062113068916276,0.010362205890270315,0.009207709096728217,0.001154496793542098,1.314258337020874,0.730204081632653,0.7481874649966934,0.6712472886882461,0.9135758710161946
0.3,6299,14699,7350,23,4,0.2390185273374606,0.314161675796666,0.9537302609052347,0.8202378166217758,0.004354037689638761,0.010362205890270315,0.004725312381251595,0.00563689350901872,1.2803406715393066,0.7204081632653061,0.7510937778771517,0.6617787109920248,0.9136829051041433
0.3,6299,14699,7350,23,5,0.23909336236025128,0.314498074992192,0.9498177294592253,0.8164920344184842,0.010068712157289633,0.010362205890270315,0.005998103316438713,0.004364102573831602,1.2097856998443604,0.7234013605442177,0.7460871166458284,0.6659873932512068,0.9143104205147441
